Date,Open,High,Low,Close,Volume,Daily Change
2019-01-02,12.45,13.18,12.42,13.07,2124200,0.0
2019-01-03,12.98,13.26,12.69,12.97,1750353,-0.007651109410864554
2019-01-04,14.03,15.29,13.7,15.24,11915692,0.17501927525057814
2019-01-07,15.11,15.81,14.94,15.48,4718028,0.015748031496062964
2019-01-08,15.5,15.88,15.15,15.81,3444019,0.02131782945736438
2019-01-09,15.84,16.39,15.72,15.98,3554522,0.010752688172043001
2019-01-10,15.74,16.0,15.52,15.96,2904811,-0.0012515644555693983
2019-01-11,15.86,16.05,15.77,15.85,2419772,-0.006892230576441172
2019-01-14,15.84,16.14,15.57,15.64,3610862,-0.013249211356466839
2019-01-15,15.6,15.64,15.19,15.53,2228220,-0.00703324808184147
2019-01-16,15.57,15.89,15.38,15.68,1992649,0.00965872504829357
2019-01-17,15.49,15.82,15.3,15.77,1743004,0.005739795918367374
2019-01-18,16.02,16.9,15.88,15.93,8547184,0.010145846544071135
2019-01-22,15.81,15.9,15.16,15.27,3188729,-0.04143126177024481
2019-01-23,15.31,15.57,15.13,15.48,1836950,0.013752455795677854
2019-01-24,15.48,15.8,15.44,15.8,1282019,0.02067183462532296
2019-01-25,15.96,16.06,15.73,15.9,1915249,0.006329113924050667
2019-01-28,15.74,15.79,14.99,15.5,2984869,-0.02515723270440251
2019-01-29,12.39,12.5,11.11,11.28,32870300,-0.2722580645161291
2019-01-30,11.25,11.37,11.11,11.2,6150980,-0.007092198581560294
2019-01-31,11.17,11.53,11.1,11.34,6049613,0.012499999999999956
2019-02-01,11.31,11.43,11.18,11.24,3477403,-0.008818342151675429
2019-02-04,11.24,11.48,11.0,11.37,4271461,0.011565836298932375
2019-02-05,11.36,11.81,11.35,11.79,4271089,0.03693931398416894
2019-02-06,11.62,11.7,11.4,11.51,3479705,-0.02374893977947412
2019-02-07,11.4,11.59,11.22,11.47,2021053,-0.0034752389226758718
2019-02-08,11.39,11.49,11.31,11.35,1801574,-0.010462074978204061
2019-02-11,11.38,11.39,11.16,11.3,1918558,-0.004405286343612258
2019-02-12,11.3,11.59,11.3,11.55,2678043,0.022123893805309658
2019-02-13,11.56,11.74,11.38,11.47,2133156,-0.006926406926406892
2019-02-14,11.37,11.42,11.24,11.33,2468492,-0.012205754141238034
2019-02-15,11.33,11.44,11.28,11.43,2211823,0.008826125330979595
2019-02-19,11.46,11.47,11.13,11.2,3305906,-0.02012248468941391
2019-02-20,11.23,11.3,11.15,11.2,2960527,0.0
2019-02-21,11.23,11.29,11.01,11.03,2489152,-0.015178571428571375
2019-02-22,11.02,11.38,11.02,11.37,3249464,0.030825022665457835
2019-02-25,11.38,11.8,11.38,11.55,3594484,0.015831134564644023
2019-02-26,11.54,11.71,11.5,11.64,2157956,0.007792207792207684
2019-02-27,11.66,11.93,11.62,11.67,3397322,0.002577319587628857
2019-02-28,11.69,11.86,11.59,11.7,2820213,0.0025706940874035134
2019-03-01,11.88,12.01,11.75,11.75,1901226,0.004273504273504258
2019-03-04,11.79,11.85,11.47,11.57,2228574,-0.015319148936170146
2019-03-05,12.08,12.1,11.36,11.6,5537880,0.0025929127052721768
2019-03-06,11.66,11.87,11.56,11.56,3313088,-0.0034482758620688614
2019-03-07,11.56,11.66,11.44,11.59,1811388,0.0025951557093424338
2019-03-08,11.07,11.22,10.75,10.97,6171609,-0.053494391716997325
2019-03-11,10.98,11.28,10.89,11.26,2703637,0.02643573381950759
2019-03-12,11.28,11.55,11.23,11.47,2164876,0.018650088809946785
2019-03-13,11.54,11.64,11.47,11.58,2191628,0.009590235396687019
2019-03-14,11.31,11.34,10.9,10.95,2839569,-0.05440414507772029
2019-03-15,10.99,11.12,10.9,11.06,3537436,0.010045662100456765
2019-03-18,11.09,11.17,10.98,11.07,2451233,0.0009041591320071429
2019-03-19,11.07,11.24,10.9,10.96,3089866,-0.009936766034326916
2019-03-20,10.96,10.96,10.4,10.5,4103910,-0.04197080291970812
2019-03-21,10.47,10.72,10.35,10.55,3205333,0.004761904761904745
2019-03-22,10.65,10.66,10.44,10.45,3289020,-0.009478672985782088
2019-03-25,10.46,10.49,10.07,10.14,4486199,-0.02966507177033484
2019-03-26,10.11,10.44,10.09,10.35,3535053,0.020710059171597628
2019-03-27,10.37,10.54,10.25,10.29,2606238,-0.005797101449275366
2019-03-28,10.36,10.49,10.07,10.19,3122334,-0.0097181729834791
2019-03-29,10.21,10.36,10.15,10.16,2919034,-0.0029440628066731422
2019-04-01,10.29,10.42,10.04,10.37,4415694,0.02066929133858264
2019-04-02,10.37,10.41,10.09,10.1,8670204,-0.026036644165863043
2019-04-03,8.86,10.03,8.82,9.63,26597946,-0.046534653465346465
2019-04-04,9.74,10.06,9.65,10.03,7917756,0.041536863966770365
2019-04-05,9.96,10.01,9.79,9.86,5744033,-0.016949152542372836
2019-04-08,9.79,10.08,9.73,9.94,4551005,0.008113590263691739
2019-04-09,9.85,10.0,9.81,9.82,2978480,-0.012072434607645843
2019-04-10,9.88,10.01,9.88,9.97,2807432,0.015274949083503131
2019-04-11,9.98,9.98,9.74,9.76,2545196,-0.02106318956870623
2019-04-12,9.79,9.83,9.29,9.32,4778571,-0.04508196721311475
2019-04-15,9.27,9.35,8.81,8.94,5527398,-0.04077253218884125
2019-04-16,9.0,9.15,8.95,9.08,4719989,0.015659955257270708
2019-04-17,9.11,9.12,8.75,8.94,3921094,-0.01541850220264318
2019-04-18,8.86,9.03,8.74,8.77,3814181,-0.019015659955257225
2019-04-22,8.75,8.82,8.53,8.65,6278660,-0.0136830102622576
2019-04-23,8.64,8.96,8.64,8.89,4452334,0.02774566473988438
2019-04-24,8.9,9.06,8.89,9.01,4106124,0.013498312710910954
2019-04-25,8.99,9.0,8.71,8.95,2627012,-0.006659267480577213
2019-04-26,8.93,9.03,8.88,8.89,2306798,-0.006703910614525022
2019-04-29,8.89,8.9,8.71,8.76,2548243,-0.014623172103487181
2019-04-30,8.8,8.85,8.65,8.65,3207672,-0.012557077625570678
2019-05-01,8.66,8.79,8.47,8.51,3538954,-0.016184971098266
2019-05-02,8.51,8.83,8.51,8.77,3117109,0.03055229142185656
2019-05-03,8.81,8.99,8.77,8.97,2179604,0.022805017103763037
2019-05-06,8.85,8.92,8.66,8.85,2406428,-0.013377926421404784
2019-05-07,8.77,8.92,8.69,8.77,2591581,-0.009039548022598876
2019-05-08,8.75,8.85,8.65,8.69,2062390,-0.009122006841505104
2019-05-09,8.6,8.65,8.48,8.52,2339534,-0.019562715765247374
2019-05-10,8.52,8.58,8.36,8.48,2301524,-0.004694835680751019
2019-05-13,8.33,8.37,8.17,8.26,3043219,-0.025943396226415172
2019-05-14,8.32,8.55,8.24,8.53,2612858,0.032687651331719136
2019-05-15,8.44,8.71,8.44,8.69,2253513,0.01875732708089095
2019-05-16,8.74,8.84,8.64,8.67,1750984,-0.0023014959723820505
2019-05-17,8.54,8.78,8.54,8.61,1967285,-0.006920415224913601
2019-05-20,8.46,8.52,7.98,8.06,5043577,-0.06387921022067355
2019-05-21,8.07,8.14,7.89,8.13,5697108,0.008684863523573227
2019-05-22,8.07,8.08,7.76,7.9,4516125,-0.02829028290282909
2019-05-23,7.84,7.86,7.67,7.7,3919476,-0.025316455696202556
2019-05-24,7.71,7.86,7.71,7.82,2542140,0.01558441558441559
2019-05-28,7.85,7.99,7.74,7.74,2732843,-0.010230179028132946
2019-05-29,7.73,7.75,7.39,7.57,4127874,-0.021963824289405687
2019-05-30,7.57,7.7,7.53,7.6,2695195,0.003963011889035473
2019-05-31,7.47,7.66,7.32,7.58,3983240,-0.002631578947368318
2019-06-03,7.58,7.65,7.42,7.47,5229101,-0.014511873350923521
2019-06-04,7.58,7.85,7.52,7.82,10430124,0.04685408299866145
2019-06-05,5.49,5.59,4.71,5.04,39354240,-0.3554987212276215
2019-06-06,4.98,5.13,4.84,5.13,13558024,0.017857142857142794
2019-06-07,5.13,5.23,4.99,5.02,10591333,-0.021442495126705707
2019-06-10,5.37,5.55,5.29,5.44,18926488,0.08366533864541847
2019-06-11,5.53,5.85,5.49,5.72,13423840,0.051470588235293935
2019-06-12,5.68,5.8,5.5,5.5,4914298,-0.038461538461538436
2019-06-13,5.55,5.73,5.49,5.7,5840816,0.036363636363636376
2019-06-14,5.7,5.83,5.61,5.63,5304641,-0.012280701754386003
2019-06-17,5.63,5.81,5.6,5.7,3686620,0.01243339253996445
2019-06-18,5.71,5.83,5.67,5.73,4070383,0.0052631578947368585
2019-06-19,5.75,5.75,5.61,5.63,2973321,-0.017452006980802848
2019-06-20,5.66,5.69,5.52,5.53,3933792,-0.017761989342806372
2019-06-21,5.52,5.52,5.31,5.42,8954331,-0.019891500904159143
2019-06-24,5.41,5.47,5.28,5.37,4823326,-0.009225092250922495
2019-06-25,5.34,5.53,5.32,5.45,3085403,0.014897579143389184
2019-06-26,5.47,5.52,5.38,5.47,3551794,0.003669724770642091
2019-06-27,5.46,5.59,5.42,5.54,3755957,0.012797074954296273
2019-06-28,5.53,5.58,5.44,5.47,3896355,-0.01263537906137191
2019-07-01,5.53,5.57,5.34,5.36,4325679,-0.02010968921389389
2019-07-02,5.35,5.45,5.32,5.38,5643464,0.003731343283581934
2019-07-03,5.41,5.43,5.27,5.31,2562102,-0.013011152416356975
2019-07-05,5.3,5.64,5.27,5.52,12894646,0.039548022598870025
2019-07-08,5.5,5.53,5.42,5.45,6592669,-0.0126811594202898
2019-07-09,5.48,5.55,5.28,5.31,11721864,-0.025688073394495525
2019-07-10,5.35,5.37,5.17,5.18,10853333,-0.024482109227871973
2019-07-11,4.98,5.01,4.73,4.84,16778248,-0.06563706563706562
2019-07-12,4.86,4.93,4.8,4.91,4392345,0.01446280991735538
2019-07-15,4.87,4.89,4.75,4.75,3068520,-0.03258655804480659
2019-07-16,4.76,4.81,4.63,4.63,5970224,-0.025263157894736876
2019-07-17,4.63,4.64,4.33,4.38,7643148,-0.05399568034557234
2019-07-18,4.39,4.42,4.12,4.2,8601213,-0.041095890410958846
2019-07-19,4.22,4.42,4.22,4.32,10946499,0.028571428571428692
2019-07-22,4.33,4.4,4.12,4.14,5488704,-0.04166666666666685
2019-07-23,4.15,4.2,3.98,4.09,7703497,-0.01207729468599028
2019-07-24,4.08,4.2,4.05,4.08,6020613,-0.0024449877750610804
2019-07-25,4.1,4.32,3.97,3.98,5789991,-0.02450980392156865
2019-07-26,4.0,4.08,3.96,4.01,3209020,0.007537688442210921
2019-07-29,4.02,4.16,4.02,4.12,4327121,0.02743142144638422
2019-07-30,4.1,4.13,3.9,4.03,5271396,-0.021844660194174748
2019-07-31,4.03,4.18,4.0,4.02,5208919,-0.002481389578163906
2019-08-01,4.02,4.06,3.78,3.84,5596508,-0.04477611940298498
2019-08-02,3.83,3.89,3.75,3.78,3594668,-0.015625
2019-08-05,3.72,3.75,3.58,3.71,5681751,-0.01851851851851849
2019-08-06,3.73,3.82,3.63,3.81,5157443,0.02695417789757415
2019-08-07,3.74,3.85,3.66,3.81,5856078,0.0
2019-08-08,3.84,3.91,3.77,3.89,2306726,0.0209973753280841
2019-08-09,3.83,3.86,3.59,3.59,3079375,-0.07712082262210807
2019-08-12,3.58,3.62,3.44,3.51,2677645,-0.02228412256267409
2019-08-13,3.48,3.76,3.47,3.47,4505170,-0.011396011396011319
2019-08-14,3.39,3.42,3.19,3.32,6081927,-0.043227665706051965
2019-08-15,3.32,3.41,3.15,3.21,5888392,-0.033132530120481896
2019-08-16,3.25,3.36,3.21,3.32,3130713,0.03426791277258556
2019-08-19,3.37,3.47,3.34,3.38,2887605,0.01807228915662651
2019-08-20,3.35,3.46,3.28,3.42,4260103,0.01183431952662728
2019-08-21,3.5,3.62,3.44,3.54,6009223,0.03508771929824572
2019-08-22,3.97,4.25,3.72,3.87,29191468,0.09322033898305082
2019-08-23,3.84,3.9,3.56,3.65,8675636,-0.05684754521963831
2019-08-26,3.72,4.04,3.65,3.82,10329416,0.046575342465753344
2019-08-27,3.87,3.93,3.68,3.7,5701244,-0.03141361256544495
2019-08-28,3.7,3.97,3.67,3.88,6449953,0.048648648648648596
2019-08-29,3.93,4.29,3.75,4.23,13364412,0.09020618556701043
2019-08-30,4.26,4.36,3.92,3.97,10635940,-0.061465721040189214
2019-09-03,3.97,4.07,3.66,3.81,9044430,-0.04030226700251893
2019-09-04,3.88,4.0,3.85,3.98,4231328,0.044619422572178546
2019-09-05,4.08,4.24,4.07,4.23,6892086,0.06281407035175901
2019-09-06,4.24,4.36,4.14,4.31,6701524,0.01891252955082723
2019-09-09,4.35,4.92,4.35,4.76,14578774,0.10440835266821358
2019-09-10,4.87,5.1,4.51,5.09,16659188,0.06932773109243695
2019-09-11,4.19,4.95,3.97,4.59,34005012,-0.0982318271119843
2019-09-12,4.6,4.81,4.43,4.58,8908741,-0.002178649237472685
2019-09-13,4.62,4.77,4.37,4.41,7662184,-0.037117903930131035
2019-09-16,4.3,4.47,4.27,4.35,6761749,-0.013605442176870874
2019-09-17,4.3,4.34,4.13,4.33,6416083,-0.0045977011494251485
2019-09-18,4.33,4.69,4.33,4.6,9810294,0.06235565819861422
2019-09-19,4.64,4.67,4.42,4.44,7868144,-0.03478260869565197
2019-09-20,4.59,4.8,4.5,4.7,11629918,0.058558558558558405
2019-09-23,4.68,5.2,4.61,5.02,12502863,0.0680851063829786
2019-09-24,5.14,5.5,4.98,5.01,13147148,-0.0019920318725099584
2019-09-25,5.09,5.55,5.08,5.2,12170028,0.0379241516966069
2019-09-26,5.19,5.34,5.08,5.28,6108539,0.01538461538461533
2019-09-27,5.25,5.45,5.22,5.34,5550212,0.011363636363636243
2019-09-30,5.43,5.64,5.4,5.52,9364495,0.033707865168539186
2019-10-01,5.64,5.82,5.49,5.58,6592949,0.010869565217391353
2019-10-02,5.55,5.55,5.24,5.32,8464988,-0.04659498207885304
2019-10-03,5.3,5.48,5.23,5.42,4437568,0.018796992481203034
2019-10-04,5.43,5.56,5.37,5.55,4234207,0.023985239852398532
2019-10-07,5.48,5.58,5.41,5.49,4439476,-0.0108108108108107
2019-10-08,5.43,5.44,5.16,5.23,4823410,-0.04735883424408005
2019-10-09,5.25,5.3,4.96,4.99,5865592,-0.04588910133843216
2019-10-10,5.02,5.15,4.96,5.05,5259227,0.012024048096192397
2019-10-11,5.14,5.49,5.14,5.37,5910838,0.06336633663366342
2019-10-14,5.32,5.59,5.22,5.58,5406311,0.03910614525139655
2019-10-15,5.6,5.91,5.59,5.61,6351119,0.005376344086021501
2019-10-16,5.58,5.91,5.58,5.88,3884788,0.048128342245989275
2019-10-17,5.89,6.05,5.8,6.03,3641113,0.025510204081632626
2019-10-18,6.03,6.05,5.77,5.94,3197108,-0.01492537313432829
2019-10-21,5.98,6.16,5.82,5.93,3611903,-0.0016835016835018424
2019-10-22,5.93,6.44,5.93,6.39,4176832,0.07757166947723437
2019-10-23,6.33,6.62,6.23,6.43,4073142,0.006259780907668322
2019-10-24,6.5,6.55,6.03,6.42,4277374,-0.0015552099533436836
2019-10-25,6.32,6.43,6.25,6.35,2645415,-0.010903426791277315
2019-10-28,6.38,6.49,6.17,6.19,2854744,-0.025196850393700676
2019-10-29,6.21,6.25,5.79,5.81,3918778,-0.06138933764135712
2019-10-30,5.76,5.83,5.52,5.73,3739543,-0.01376936316695343
2019-10-31,5.63,5.68,5.31,5.44,4358572,-0.05061082024432806
2019-11-01,5.45,6.0,5.43,5.84,5210355,0.07352941176470584
2019-11-04,5.9,6.02,5.77,5.85,3670049,0.001712328767123239
2019-11-05,5.88,6.2,5.86,5.91,3374121,0.010256410256410442
2019-11-06,5.9,6.19,5.82,6.09,4128292,0.030456852791878042
2019-11-07,6.18,6.32,6.04,6.22,3129283,0.021346469622331776
2019-11-08,6.17,6.28,6.05,6.09,1968720,-0.020900321543408373
2019-11-11,6.05,6.09,5.77,6.02,3109457,-0.011494252873563315
2019-11-12,6.03,6.07,5.87,5.92,1834485,-0.01661129568106301
2019-11-13,5.91,5.97,5.81,5.94,1533919,0.0033783783783785104
2019-11-14,5.95,6.11,5.9,5.98,1708735,0.006734006734006703
2019-11-15,6.0,6.01,5.85,5.88,2166051,-0.016722408026755953
2019-11-18,5.85,5.85,5.61,5.62,2995894,-0.04421768707482987
2019-11-19,5.57,5.66,5.45,5.5,3360548,-0.02135231316725983
2019-11-20,5.54,5.54,5.36,5.46,2666697,-0.0072727272727273196
2019-11-21,5.46,5.58,5.35,5.5,2784021,0.0073260073260073
2019-11-22,5.59,5.85,5.5,5.66,3494050,0.029090909090909056
2019-11-25,5.67,6.06,5.63,6.03,2744888,0.06537102473498235
2019-11-26,6.03,6.26,6.01,6.1,2650689,0.011608623548921893
2019-11-27,6.1,6.39,6.02,6.35,3031154,0.040983606557376984
2019-11-29,6.33,6.39,6.24,6.34,1368983,-0.0015748031496062298
2019-12-02,6.35,6.46,6.09,6.17,2060626,-0.02681388012618291
2019-12-03,6.04,6.18,5.93,6.12,2216198,-0.008103727714748765
2019-12-04,6.17,6.49,6.12,6.43,2872485,0.05065359477124187
2019-12-05,6.32,6.52,6.24,6.4,4381413,-0.004665629860031051
2019-12-06,6.39,6.68,6.39,6.68,4757388,0.043749999999999956
2019-12-09,6.65,6.92,6.19,6.33,6351558,-0.05239520958083832
2019-12-10,6.29,6.54,6.12,6.51,9718849,0.02843601895734582
2019-12-11,5.25,5.81,5.18,5.53,19538910,-0.15053763440860213
2019-12-12,5.46,5.71,5.41,5.58,6387374,0.009041591320072317
2019-12-13,5.47,5.62,5.24,5.45,5439083,-0.023297491039426466
2019-12-16,5.39,5.59,5.39,5.5,4407206,0.00917431192660545
2019-12-17,5.5,6.08,5.49,6.06,4142334,0.10181818181818181
2019-12-18,6.06,6.27,5.93,6.16,5265606,0.01650165016501659
2019-12-19,6.21,6.24,6.03,6.06,4451979,-0.016233766233766267
2019-12-20,6.06,6.22,5.96,5.99,5484629,-0.011551155115511413
2019-12-23,6.05,6.07,5.54,5.61,6282908,-0.06343906510851416
2019-12-24,5.65,5.67,5.44,5.44,3395510,-0.030303030303030276
2019-12-26,5.47,5.51,5.25,5.4,4266153,-0.007352941176470562
2019-12-27,5.42,5.98,5.39,5.9,11041287,0.09259259259259256
2019-12-30,5.88,6.25,5.76,6.13,4482348,0.03898305084745757
2019-12-31,6.08,6.39,5.99,6.08,4322610,-0.00815660685154973
2020-01-02,6.14,6.47,6.07,6.31,4430750,0.03782894736842102
2020-01-03,6.21,6.25,5.83,5.88,3550961,-0.06814580031695716
2020-01-06,5.8,5.91,5.6,5.85,3394777,-0.005102040816326592
2020-01-07,5.77,5.83,5.44,5.52,5235519,-0.05641025641025643
2020-01-08,5.49,5.85,5.41,5.72,5629445,0.03623188405797095
2020-01-09,5.82,5.82,5.48,5.55,2643051,-0.029720279720279685
2020-01-10,5.56,5.6,5.38,5.43,2781412,-0.021621621621621623
2020-01-13,5.43,5.61,5.33,5.43,3634014,0.0
2020-01-14,4.78,5.0,4.53,4.71,12562568,-0.13259668508287292
